ID,Paikannimi,Paikanlaji,Kartan numero,Kerääjän karttanumero,X,Y,Pistesij.viite,Pitäjä,Kerääjä,Vuosi,Aakkonen,Kuvatiedosto,Jatko,PEX,Muut nimet,Todellinen pitäjä,KarttaID,X_euref,Y_euref,HuomioKotus,Kokoelma,Kuvalinkki,RerSer,Emolippu,wgs84_long,wgs84_lat
38,Ahlaistenjoki,joki,,,,,,Ahlainen,"Vasama, Marjatta",1963,A,00000038_F.jpg,,,,,0,-1,-1,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000038_F.jpg,34,,-1,-1
39,Ahlaistenjoki,joki,,,,,,Ahlainen,"Vasama, Marjatta",1963,A,00000039_F.jpg,J,,,,0,-1,-1,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000039_F.jpg,35,34,-1,-1
6,Ahlbom,mökki,,,96,25,10,Aitolahti,"Kerttula, Riitta-Liisa",1970,A,00000006_F.jpg,,,,,1492,337168.149618504,6826669.43631817,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0004_AHVENANMAA-AITOLAHTI-AKAA\JPG\Aitolahti\A\kotus-201214_0004_AHVENANMAA-AITOLAHTI-AKAA_JPG_Aitolahti_A_00000006_F.jpg,5547,,23.9365394445,61.539135413
40,Ahlgrenintontti,metsä,,1,1,E,11,Ahlainen,"Lenko, Marja",1967,A,00000040_F.jpg,,,,,1471,218081.792181646,6847484.71169556,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000040_F.jpg,36,,21.6731201875,61.6567121463
1,Ahli,tila,231106,,88,15,,Alahärmä,"Sjöblom, Sirkka-Liisa",1984,A,00000001_F.jpg,,,,,1514,288413.968691127,7012560.82759984,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0005_AKAA-ALAHÄRMÄ\JPG\Alahärmä\A\kotus-201214_0005_AKAA-ALAHÄRMÄ_JPG_Alahärmä_A_00000001_F.jpg,8014,,22.7946797003,63.1798413918
41,Aho,tila,114211,,16,56,,Ahlainen,"Miikkulainen, Raija",1986,A,00000041_F.jpg,,,,,1483,216443.615658895,6853624.26319155,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000041_F.jpg,37,,21.6327813714,61.7103805344
43,Aho,tila,114211,,16,56,,Ahlainen,"Miikkulainen, Raija",1986,A,00000043_F.jpg,,,,,1483,216443.615658895,6853624.26319155,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000043_F.jpg,38,,21.6327813714,61.7103805344
2,aho,A,,,,,,Alahärmä,"Lillbacka, Eila",1968,A,00000002_F.jpg,,,,,0,-1,-1,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0005_AKAA-ALAHÄRMÄ\JPG\Alahärmä\A\kotus-201214_0005_AKAA-ALAHÄRMÄ_JPG_Alahärmä_A_00000002_F.jpg,8015,,-1,-1
3,Aho,mökki,,,3,c,,Alahärmä,"Pitkänen, Hillevi",1954,A,00000003_F.jpg,,,,,1499,291820.246552227,7020770.0011067,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0005_AKAA-ALAHÄRMÄ\JPG\Alahärmä\A\kotus-201214_0005_AKAA-ALAHÄRMÄ_JPG_Alahärmä_A_00000003_F.jpg,8016,,22.8516353045,63.2553108507
4,Aho,talo,,,6,g,,Alahärmä,"Pitkänen, Hillevi",1954,A,00000004_F.jpg,,,,,1499,294630.190153028,7016633.77564665,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0005_AKAA-ALAHÄRMÄ\JPG\Alahärmä\A\kotus-201214_0005_AKAA-ALAHÄRMÄ_JPG_Alahärmä_A_00000004_F.jpg,8017,,22.9126993971,63.2199011108
44,Ahola,tila,,1,9,G,6,Ahlainen,"Peltola, Satu-Liisa",1966,A,00000044_F.jpg,,,,,1466,214581.167912484,6846189.892866,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000044_F.jpg,39,,21.6093406551,61.6425564615
4,Ahola,asutusalue,,,95-96,22,,Aitolahti,"Kerttula, Riitta-Liisa",1970,A,00000004_F.jpg,,,,,1492,335717.996278168,6823519.43492157,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0004_AHVENANMAA-AITOLAHTI-AKAA\JPG\Aitolahti\A\kotus-201214_0004_AHVENANMAA-AITOLAHTI-AKAA_JPG_Aitolahti_A_00000004_F.jpg,5545,,23.9121088486,61.5102839507
5,Ahola,talo,,,5,f,,Alahärmä,"Pitkänen, Hillevi",1954,A,00000005_F.jpg,,,,,1499,293677.954065957,7017679.51205311,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0005_AKAA-ALAHÄRMÄ\JPG\Alahärmä\A\kotus-201214_0005_AKAA-ALAHÄRMÄ_JPG_Alahärmä_A_00000005_F.jpg,8018,,22.8924757771,63.2287174191
6,Aholanmaa,ala,,,4,i,,Alahärmä,"Pitkänen, Hillevi",1954,A,00000006_F.jpg,,,,,1499,292538.723045862,7014729.28796344,,KotusNA1,\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0005_AKAA-ALAHÄRMÄ\JPG\Alahärmä\A\kotus-201214_0005_AKAA-ALAHÄRMÄ_JPG_Alahärmä_A_00000006_F.jpg,8019,,22.8736367891,63.20165218
