paikanlaji,
aallokko,
aallokkoinen kohta,
aalloppi,
aallot,
aaloppi,
aalto,
aara,
aavan osa,
aavat,
"aho, pelto",
ahokivikko,
ahoniemeke,
ahotäkki,
ahtauslauta,
ahteenmutka,
aidattu kylätie,
aidattu tarha,
airiston selkä,
aitakuja,
aitto-oja,
ajan mittaaja,
ajanviettopaikka,
ajoneuvopolku,
ajopolku,
ajorata,
ajoreitti,
ala,
ala-aste,
ala-asteen sivurakennus,
alainen paikka,
alakartano,
alakoulu,
alakylä,
alalohko,
alamaa,
alamäki,
alaniemi,
alankoranta,
alankovaara,
alanteen ylityspaikka,
alapuoli,
alapää,
alhokangas,
alikulkusilta,
alikulkutie,
alikulkutunneli,
alikäytävä,
alikäytävät,
alkoholiliike,
alkoholimyymälä,
alkoholistihuoltola,
alku,
alkukohta,
alkuosa,
alkupää,
allas,
allaspaikka,
allikko,
alo,
"alue,talo",
"alue,tie",
aluekeskus,
alunamaa,
alusta,
amma-alue,
ammattikoulu,
ammuksenpaikka,
ammuntapaikka,
ammus,
ammusvarasto,
ampuma-alue,
ampumahauta,
ampumakoppi,
ampumalinja,
ampumamaja,
ampumapaikka,
ampumapatterit,
ampumapaviljonki,
ampumaradan patterit,
ampumarata,
ampumarata-alue,
ampumavarasto,
ankarplats,
ankkuri,
ankkuripaikka,
ankkuripoiju,
ankkuroimispaikka,
ankkurointipaikka,
ansakokko,
ansakuoppa,
ansapaikka,
antiikkimyymälä,
apteekki,
apteekkirakennus,
apulaidun,
apumeijeri,
arkku,
arkunveistopaikka,
arm av Malax å,
arm av ån,
armeijan patteri,
arvo,
asekätkö,
asema,
asema-alue,
asemakaava-alue,
asemakaavoitusalue,
aseman seutu,
aseman tienoo,
aseman ympäristö,
asemanseutu,
asemapaikka,
asemarakennus,
asemaseutu,
asematunneli,
asentopaikka,
asepaja,
asevarasto,
asevelitalo,
asevelitila,
asilta,
askelmat,
asmus,
astia,
asuimispaikka,
asuinhuone,
asuinhuoneet,
asuinlöyty,
asujaimisto,
asujaimistot,
asukas,
asukastalo,
asukasyhdistys,
asukkaat,
asum,
asuma,
asunto-osakeyhtiö,
asunto-osuuskunta,
asuntovaunukylä,
asuntoyhtiö,
ateriointipaikka,
auikio,
aukea jänkä,
aukea suo,
aukko padossa,
aukko sillassa,
aumus,
auo,
auoalue,
aupmentti,
ausmus,
autioranta,
autoasema,
autohuolto,
autokorjaamo,
autokoulu,
autopaja,
autopyöli,
autotalli,
autotallialue,
autotallirakennus,
autotehdas,
autotie,
autotien loppu,
avokanava,
avokatos,
avolouhos,
avolouhu,
avoluoto,
avorakka,
avoselkä,
avosilmäke,
avovesi,
avovesiväylä,
avuluoto,
ayho,
baani,
baari,
bensa-asema,
däld,
betonipato,
betonipylväs,
betonivalimo,
bunkkeri,
bussivarikko,
disco,
eduskuntatalo,
elinaikka,
elinpaikan autiot,
elinpaikka,
elintarvikekioski,
elintarvikeliike,
elokuvateatteri,
elokuvateatterin alue,
elosuoja,
elto,
eläinlaavin paikka,
eläinpuisto,
eläinsuoja,
eläintarha,
eläinten juottopaikka,
eläinten syöttöpaikka,
eläintori,
eläkeasunto,
eläkehuoneet,
eläkeläisasunto,
eläkeläispaikka,
eläkeläistupa,
eläkemaa,
eläkemökki,
emäntäkoulu,
emätalo,
emätila,
enimi,
entinen kalansuolaamo,
entinen kettutarha,
entinen kirkonkylä,
entinen tila,
erakkomaja,
erikkopalsta,
erillisalue,
erillispalsta,
eritasoliittymä,
eroamiskohta,
erottelupaikka,
erotuspaikka,
eräalue,
eräjä,
eräkappale,
eräkämppä,
erämaa,
erämaa-alue,
erämaapalsta,
erämaasauna,
erämaaseutu,
erämaja,
eräpolku,
erätupa,
esikaupunki,
esikaupunkialue,
esikuntarakennus,
etappi,
etappipaikka,
eteinen,
etelälahti,
eteläniemen pää,
eteläniemi,
