ID,Paikannimi,Paikanlaji,"Kartan numero","Kerääjän karttanumero",X,Y,Pistesij.viite,Pitäjä,Kerääjä,Vuosi,Aakkonen,Kuvatiedosto,Jatko,PEX,"Muut nimet","Todellinen pitäjä",KarttaID,X_euref,Y_euref,HuomioKotus,Kokoelma,Kuvalinkki,RerSer,Emolippu,wgs84_long,wgs84_lat
167,Apajakarinlahti,meri,114208+114205,,05,54,,Ahlainen,"Miikkulainen, Raija",1986,A,00000167_F.jpg,,,,,1482,205448.0385410032,6851625.016625242,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000167_F.jpg",151,,21.429028655001,61.68423201237
168,Apsunti,lahti,V:3/16,1,6,C,2,Ahlainen,"Kleemola, Tarja",1969,A,00000168_F.jpg,,,X,,1476,212043.5389354946,6850243.252604897,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000168_F.jpg",152,,21.55527921136,61.67688794996
168,Apsuntipelto,pelto,V:3/16,1,6,C,3,Ahlainen,"Kleemola, Tarja",1969,A,00000168_F.jpg,,,X,,1476,212033.8621686815,6850683.545503927,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000168_F.jpg",153,,21.554402303368,61.68081536232
169,Apsuntiviiki,lahti,V:3/16,II,6,C,1,Ahlainen,"Vasama, Marjatta",1962,A,00000169_F.jpg,,,,,1458,211808.2346876717,6850387.082913254,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000169_F.jpg",154,,21.550626664957,61.677996771799
170,Arkkukivi,kivi,V:3/17,II,4,K,1,Ahlainen,"Mäenpää, Marja-Liisa",1967,A,00000170_F.jpg,,,,,1470,221547.6453579598,6850159.506683579,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000170_F.jpg",155,,21.734199423491,61.683149246831
171,Aromaa,tila,V:3/17,II,3,M,,Ahlainen,"Mäenpää, Marja-Liisa",1967,A,00000171_F.jpg,,,,,1470,220002.9295266127,6848093.375512909,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000171_F.jpg",156,,21.708303882278,61.663557243981
172,Arveranta,asumus,114211,,14,57,7,Ahlainen,"Miikkulainen, Raija",1986,A,00000172_F.jpg,,,,,1483,214247.2941542844,6854808.771340001,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000172_F.jpg",157,,21.589567108311,61.71933624483
173,Arveranta,maa,V:3/11,I,7,J,,Ahlainen,"Vasama, Marjatta",1963,A,00000173_F.jpg,,,,,1457,213662.7035422383,6854135.556409726,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000173_F.jpg",158,,21.579616469932,61.712883667375
174,Aselli,asumus,114207+114204,,09,48,14,Ahlainen,"Miikkulainen, Raija",1974,A,00000174_F.jpg,,,,,1477,209212.5585988882,6845235.768957542,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000174_F.jpg",159,,21.510005609885,61.630009105924
175,Ateriakivi,kivi,,1,2,D,1,Ahlainen,"Lenko, Marja",1967,A,00000175_F.jpg,,,,,1471,218472.0586619361,6849173.160600923,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000175_F.jpg",160,,21.677854103784,61.672090118585
176,aukee,A,,,,,,Ahlainen,"Miikkulainen, Raija",1986,A,00000176_F.jpg,,,,,0,-1,-1,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000176_F.jpg",161,,-1,-1
177,Aurinkokivi,kivi,114211,,16,57,13,Ahlainen,"Miikkulainen, Raija",1986,A,00000177_F.jpg,,,,,1483,216364.5489447133,6854701.947968061,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000177_F.jpg",162,,21.629612669286,61.719953925205
178,Autio,tila,,1,1,D,3,Ahlainen,"Lenko, Marja",1967,A,00000178_F.jpg,,,,,1471,218136.1172759808,6848649.89130165,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000178_F.jpg",163,,21.672343588313,61.667166650083
179,Autio,pelto,V:3/11,I,6,J,17,Ahlainen,"Vasama, Marjatta",1963,A,00000179_F.jpg,,,,,1457,212757.883117999,6854619.537195537,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000179_F.jpg",164,,21.561815274494,61.71653207503
180,Avellaninpuoli,korpi,114210,,18,43,,Ahlainen,"Miikkulainen, Raija",1984,A,00000180_F.jpg,,,,,1481,218442.8712627623,6840629.489044655,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000180_F.jpg",165,,21.690446129996,61.595701662824
181,Baablingi,kari,114208+114205,,09,54,1,Ahlainen,"Miikkulainen, Raija",1986,B,00000181_F.jpg,,,,,1482,209831.9590517139,6851598.46598449,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\B\kotus-201214_0001_AHLAINEN_00000181_F.jpg",166,,21.511532479469,61.687333347683
