ID,Paikannimi,Paikanlaji,"Kartan numero","Kerääjän karttanumero",X,Y,Pistesij.viite,Pitäjä,Kerääjä,Vuosi,Aakkonen,Kuvatiedosto,Jatko,PEX,"Muut nimet","Todellinen pitäjä",KarttaID,X_euref,Y_euref,HuomioKotus,Kokoelma,Kuvalinkki,RerSer,Emolippu,wgs84_long,wgs84_lat
638,Hakaholma,saari,V:3/11,I,5,J,,Ahlainen,"Vasama, Marjatta",1963,H,00000638_F.jpg,,,,,1457,211633.2006968763,6854299.632342843,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\H\kotus-201214_0001_AHLAINEN_00000638_F.jpg",598,,21.541143356921,61.712829094979
639,Hakala,tila,,,,,,Ahlainen,"Kleemola, Tarja",1969,H,00000639_F.jpg,,,,,0,-1,-1,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\H\kotus-201214_0001_AHLAINEN_00000639_F.jpg",599,,-1,-1
640,Hakala,tila,V:3/17,II,5,M,,Ahlainen,"Mäenpää, Marja-Liisa",1967,H,00000640_F.jpg,,,,,1470,222432.6801612856,6847887.285865204,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\H\kotus-201214_0001_AHLAINEN_00000640_F.jpg",600,,21.754308673791,61.663477908981
641,Hakapelto,pelto,114211,,14,57,11,Ahlainen,"Miikkulainen, Raija",1986,H,00000641_F.jpg,,,,,1483,213966.0182003012,6854787.252959583,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\H\kotus-201214_0001_AHLAINEN_00000641_F.jpg",601,,21.584303397112,61.718934172318
643,Hakapelto,pelto,V:3/16,II,8,A,7,Ahlainen,"Vasama, Marjatta",1963,H,00000643_F.jpg,,,,,1458,214291.1266499689,6852471.719080936,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\H\kotus-201214_0001_AHLAINEN_00000643_F.jpg",602,,21.594060523075,61.698482690618
644,Hakapelto,pelto,114211,,16,56,20,Ahlainen,"Miikkulainen, Raija",1986,H,00000644_F.jpg,,,,,1483,216564.7467203746,6853523.432457895,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\H\kotus-201214_0001_AHLAINEN_00000644_F.jpg",603,,21.635219280905,61.709568893005
646,Hakasalo,tila,114208+114205,,12,57,,Ahlainen,"Miikkulainen, Raija",1986,H,00000646_F.jpg,,,,,1482,212403.1093046798,6854632.268480041,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\H\kotus-201214_0001_AHLAINEN_00000646_F.jpg",604,,21.555114274499,61.716379890448
647,Hakaveräjänpelto,pelto,114211,,14,59,9,Ahlainen,"Miikkulainen, Raija",1986,H,00000647_F.jpg,,,,,1483,214022.5039459111,6856945.623232311,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\H\kotus-201214_0001_AHLAINEN_00000647_F.jpg",605,,21.581971662415,61.738265329151
649,Hakkoo,lepikko,,1,21,46,5,Ahlainen,"Norrbacka, Hilkka",1977,H,00000649_F.jpg,,,,,1478,221826.7838304419,6843322.913477955,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\H\kotus-201214_0001_AHLAINEN_00000649_F.jpg",606,,21.749855533753,61.622237322176
650,Hakkurviiki,vesijättömaa,V:3/16,II,1,E,11,Ahlainen,"Vasama, Marjatta",1963,H,00000650_F.jpg,,,,,1458,207136.2398459932,6848987.675788021,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\H\kotus-201214_0001_AHLAINEN_00000650_F.jpg",607,,21.465012932001,61.661958605116
651,Hakosalo,talo,V:3/11,I,6,J,,Ahlainen,"Vasama, Marjatta",1963,H,00000651_F.jpg,,,,,1457,212647.1727696862,6854218.271775366,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\H\kotus-201214_0001_AHLAINEN_00000651_F.jpg",608,,21.560364083573,61.712863202901
652,Hakosilta,silta,V:3/16,II,7,A,5,Ahlainen,"Vasama, Marjatta",1963,H,00000652_F.jpg,,,,,1458,213100.8686883577,6852317.989300729,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\H\kotus-201214_0001_AHLAINEN_00000652_F.jpg",609,,21.571900808819,61.696220710591
653,Halkokari,saari,V:3/16,II,1,D,9,Ahlainen,"Vasama, Marjatta",1963,H,00000653_F.jpg,,,,,1458,207406.5338212944,6849598.864513999,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\H\kotus-201214_0001_AHLAINEN_00000653_F.jpg",610,,21.469114115418,61.667625609625
654,Halkokari,niemi,V:2/20,V,11,C,4,Ahlainen,"Vasama, Marjatta",1963,H,00000654_F.jpg,,,,,1462,206224.0638877193,6850684.316856864,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\H\kotus-201214_0001_AHLAINEN_00000654_F.jpg",611,,21.44513902879,61.676421622336
655,Halkokari,saari,,1,9,I,10,Ahlainen,"Peltola, Satu-Liisa",1966,H,00000655_F.jpg,,,,,1466,214449.861864618,6843901.691884792,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\H\kotus-201214_0001_AHLAINEN_00000655_F.jpg",612,,21.610442558045,61.622008563552
656,Halkokari,kari,114207+114204,,07,48,,Ahlainen,"Miikkulainen, Raija",1974,H,00000656_F.jpg,,,,,1477,207447.2628995835,6845627.433134046,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\H\kotus-201214_0001_AHLAINEN_00000656_F.jpg",613,,21.476233966238,61.632170722957
657,Halkokarinsunti,salmi,114207+114204,,07,48,10,Ahlainen,"Miikkulainen, Raija",1974,H,00000657_F.jpg,,,,,1477,207247.1139596254,6845634.017113865,,KotusNA1,"\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\H\kotus-201214_0001_AHLAINEN_00000657_F.jpg",614,,21.472465149497,61.63207731734
