Paikanlajiteema_id,Paikanlajiteema,Paikanlajiryhmä_id,Paikanlajiryhmä,Paikanlajialaryhmä_id,Paikanlajialaryhmä,Paikanlaji_id,Paikanlaji,Paikanlajin_kuvaus
,,,,,,3999999,Muu asutuskohde,Muihin paikanlajeihin kuulumaton asutuskohde.
4,Hallinnon yksiköt ja julkiset palvelut,,,,,,,
,,401,Hallintoyksiköt,,,,,
,,,,40101,Hallintoalueet,,,
,,,,,,4010105,Valtio,Suomen valtio.
,,,,,,4010110,Aluehallintoviraston toimialue,Aluehallintoviraston (AVI) toimialue.
,,,,,,4010115,ELY-keskuksen toimialue,"Elinkeino-, liikenne- ja ympäristökeskuksen toimialue."
,,,,,,4010120,Maakunta,Kunnista muodostuvan määräalueen käsittävä alueellista suunnittelua ja kehittämistä varten muodostettu kokonaisuus.
,,,,,,4010125,Kunta,"Määräalueen käsittävä itsehallinnollinen yhdyskunta, joka on valtion lainsäädännön alainen ja sen valvonnassa."
,,,,40102,Hallintorajat,,,
,,,,,,4010205,Rajapyykki,Valtakunnan tai muu huomattava rajamerkki.
,,402,Hallinnolliset rakennukset ja toimipaikat,,,,,
,,,,40201,Hallinnolliset rakennukset ja toimipaikat,,,
,,,,,,4020105,Aluehallintoviraston päätoimipaikka,"Lupa-, valvonta- ja oikeusturva-asioita hoitavan valtionhallinnon alueellisen viraston päätoimipaikka."
,,,,,,4020110,ELY-keskuksen päätoimipaikka,"Elinkeino-, liikenne- ja ympäristöasioita hoitavan valtionhallinnon alueellisen viraston päätoimipaikka."
,,,,,,4020115,Maakunnan liiton toimisto,Samaan maakuntaan kuuluvien kuntien hallinnollisen yhteistyöelimen toimipaikka.
,,,,,,4020120,Kunnanvirasto,"Kunnan toimipiste; kaupungintalo, kunnantalo, raatihuone."
,,,,,,4020199,Muu hallinnollinen rakennus tai toimipaikka,Muihin paikanlajeihin kuulumaton hallinnollinen rakennus tai toimipaikka.
,,403,Uskonnolliset rakennukset,,,,,
,,,,40301,Uskonnolliset rakennukset,,,
,,,,,,4030105,Kirkko,Kristinuskon pyhä rakennus.
,,,,,,4030110,Muu pyhä rakennus,"Muun kuin kristinuskon pyhä rakennus; moskeija, synagoga tms."
,,,,,,4030199,Muu uskonnollinen rakennus,"Uskonnollinen rakennus, joka ei ole kirkko tai muu pyhä rakennus; luostari, kappeli, rukoushuone tms."
,,404,Hautaustoimen yksiköt,,,,,
,,,,40401,Hautaustoimen yksiköt,,,
,,,,,,4040105,Hautausmaa,"Alue, jonne vainajat haudataan."
,,,,,,4040199,Muu hautaustoimen yksikkö,"Muu hautaustoimen yksikkö kuin hautausmaa, esim. krematorio; myös eläinten hautausmaa."
,,405,Sosiaali- ja terveydenhuollon yksiköt,,,,,
,,,,40501,Terveydenhuollon yksiköt,,,
,,,,,,4050105,Sairaala,"Vaativaa hoitoa tai erityistoimenpiteitä tarvitsevien potilaiden julkinen tutkimus-, hoito- ja kuntoutuslaitos."
,,,,,,4050199,Muu terveydenhuollon yksikkö,Muu terveydenhuollon yksikkö tai toimipiste kuin sairaala.
,,,,40502,Sosiaalihuollon yksiköt,,,
,,,,,,4050299,Sosiaalihuollon yksikkö,Sosiaalihuollon yksikkö.
,,,,40599,Muut sosiaali- ja terveydenhuolon yksiköt,,,
,,,,,,4059999,Muu sosiaali- tai terveydenhuollon yksikkö,Muihin paikanlajeihin kuulumaton sosiaali- tai terveydenhuollon yksikkö.
,,406,Turvallisuus- ja puolustusalan yksiköt,,,,,
,,,,40601,Pelastustoimen yksiköt,,,
,,,,,,4060105,Pelastus- tai paloasema,Palo- ja pelastustoimen ja sen kaluston asemapaikka.
