"1","Aadaminala","pelto","114211","","18","58","2","Ahlainen","Miikkulainen, Raija","1986","A","00000001_F.jpg","","","","","1483","218324.642718013","6856056.453088261","","KotusNA1","\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000001_F.jpg","1",""
"2","Aallon Ryssä","H","","","","","","Ahlainen","Peltola, Satu-Liisa","1966","A","00000002_F.jpg","","","","","0","-1","-1","","KotusNA1","\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000002_F.jpg","2",""
"3","Aalto","tila","114211","","16","55","","Ahlainen","Miikkulainen, Raija","1986","A","00000003_F.jpg","","","","","1483","216443.6201137164","6852624.66448322","","KotusNA1","\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000003_F.jpg","3",""
"5","Aalto","","114211","","15","55","","Ahlainen","Miikkulainen, Raija","1986","A","00000005_F.jpg","","","","","1483","215444.0214011311","6852624.660022502","","KotusNA1","\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000005_F.jpg","4",""
"6","Aaltonen","tila","114208+114205","","09","55","4","Ahlainen","Miikkulainen, Raija","1986","A","00000006_F.jpg","","","","","1482","209055.7818510942","6852740.875960149","","KotusNA1","\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000006_F.jpg","5",""
"7","Aaltonen","","V:3/11","I","7","I","","Ahlainen","Vasama, Marjatta","1963","A","00000007_F.jpg","","","","","1457","213742.7672867721","6855157.770996459","","KotusNA1","\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000007_F.jpg","6",""
"8","Aaltonen","asumus","114207+114204","","08","48","7","Ahlainen","Miikkulainen, Raija","1974","A","00000008_F.jpg","","","","","1477","208880.8775984996","6846055.996039545","","KotusNA1","\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000008_F.jpg","7",""
"9","Aaltonen","asumus","114207+114204","","07","49","","Ahlainen","Miikkulainen, Raija","1974","A","00000009_F.jpg","","","","","1477","207447.258412566","6846627.031871431","","KotusNA1","\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000009_F.jpg","8",""
"10","Aaltonen","asunto","V:3/16","II","1","C","","Ahlainen","Vasama, Marjatta","1963","A","00000010_F.jpg","","","","","1458","207217.787467629","6850658.582591951","","KotusNA1","\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000010_F.jpg","9",""
"11","Aaltonen","talo","V:3/16","II","8","F","","Ahlainen","Vasama, Marjatta","1963","A","00000011_F.jpg","","","","","1458","214057.2016722001","6847049.546225006","","KotusNA1","\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000011_F.jpg","10",""
"12","Aapelinkorpi","pellot","","1","17,18","49","","Ahlainen","Norrbacka, Hilkka","1977","A","00000012_F.jpg","","","","","1478","217443.2456264795","6846627.076729745","","KotusNA1","\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000012_F.jpg","11",""
"13","Aaponniittu","niitty","","1","2","E","4","Ahlainen","Lenko, Marja","1967","A","00000013_F.jpg","","","","","1471","218334.997073872","6847983.31615286","","KotusNA1","\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000013_F.jpg","12",""
"14","Aaprahaminkari","","114211","","14","58","28","Ahlainen","Miikkulainen, Raija","1986","A","00000014_F.jpg","","","","","1483","214046.3278649143","6855244.134258522","","KotusNA1","\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000014_F.jpg","13",""
"15","Aarikka","tila","114211","","18","53","6","Ahlainen","Miikkulainen, Raija","1986","A","00000015_F.jpg","","","","","1483","218494.0999511061","6850895.116165303","","KotusNA1","\\tiedostot.ds.kotus.fi\digiwork2\nadigi\GRANON LOPULLISET DIGITOINNIT\0001_AHLAINEN\JPG\Ahlainen\A\kotus-201214_0001_AHLAINEN_00000015_F.jpg","14",""
