paikanlaji,
APPELLATIIVI a,
LUOKITTELEMATON kalho,
LUOKITTELEMATON kaljan säilytyspaikka,
LUOKITTELEMATON kaljanjuontipaikka,
LUOKITTELEMATON kallion,
LUOKITTELEMATON kammet,
LUOKITTELEMATON kammio,
LUOKITTELEMATON kankaalla,
LUOKITTELEMATON kansakoulun tontti,
LUOKITTELEMATON kansakoulunpalsta,
LUOKITTELEMATON kansankeittiö,
LUOKITTELEMATON kantaosa,
LUOKITTELEMATON kantapaikka,
LUOKITTELEMATON kanttiini,
LUOKITTELEMATON kanttorila,
LUOKITTELEMATON kapakka,
LUOKITTELEMATON kapeima,
LUOKITTELEMATON kappeliseurakunta,
LUOKITTELEMATON käpyjenkuivaustarha,
LUOKITTELEMATON käpykaristamo,
LUOKITTELEMATON käräjäkenttä,
LUOKITTELEMATON käräjäpaikan ympäristö,
LUOKITTELEMATON käräjäpaikka,
LUOKITTELEMATON käräjienpitopaikka,
LUOKITTELEMATON karikkoinen paikka,
LUOKITTELEMATON karinottopaikka,
LUOKITTELEMATON karjasillantalo,
LUOKITTELEMATON kärkikaista,
LUOKITTELEMATON kärkiosa,
LUOKITTELEMATON karko,
LUOKITTELEMATON karos,
LUOKITTELEMATON karta,
LUOKITTELEMATON karti,
LUOKITTELEMATON kartoituslinja,
LUOKITTELEMATON kartotustorni,
LUOKITTELEMATON karttanimi,
LUOKITTELEMATON kärvi,
LUOKITTELEMATON käsityöläisyhteisö,
LUOKITTELEMATON käsityöluokka,
LUOKITTELEMATON kasvattamo,
LUOKITTELEMATON kasvatusaltaat,
LUOKITTELEMATON kasvupaikka,
LUOKITTELEMATON katano,
LUOKITTELEMATON kati,
LUOKITTELEMATON kätköpaikka,
LUOKITTELEMATON kattilakunta,
LUOKITTELEMATON katto,
LUOKITTELEMATON katuvalot,
LUOKITTELEMATON kaukalo,
LUOKITTELEMATON kaupungin,
LUOKITTELEMATON kava,
LUOKITTELEMATON kavana,
LUOKITTELEMATON käyntipaikka,
LUOKITTELEMATON kehikko,
LUOKITTELEMATON kehikko puussa,
LUOKITTELEMATON kehikot,
LUOKITTELEMATON kehto,
LUOKITTELEMATON kellarilantala,
LUOKITTELEMATON kello,
LUOKITTELEMATON kelontekemä,
LUOKITTELEMATON kenttärata,
LUOKITTELEMATON kenttävahti,
LUOKITTELEMATON keräyspaikka,
LUOKITTELEMATON keskus,
LUOKITTELEMATON ketto,
LUOKITTELEMATON keväisin ja märkinä kesinä vet,
LUOKITTELEMATON kevari,
