wiki_id,kotus_id,place_name,place_type,name_type,parish,lat,long,precision,collector,collection_year,collection
Q5004705,2358,Leppämaa,pelto,paikannimi,Ahlainen,61.689570437,21.605741459,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Vasama, Marjatta",1963,1-kokoelma
Q5003051,1523,Kirkkopelto,pelto,paikannimi,Ahlainen,61.702115054,21.720652028,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Mäenpää, Marja-Liisa",1967,1-kokoelma
Q5002250,1122,Jarila,metsäpalsta,paikannimi,Ahlainen,61.700706355,21.615521583,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Miikkulainen, Raija",1986,1-kokoelma
Q5002294,1144,Jokioinen,asumus,paikannimi,Ahlainen,61.700706355,21.615521583,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Miikkulainen, Raija",1986,1-kokoelma
Q5005970,2996,Nurmi,tila,paikannimi,Ahlainen,61.700706355,21.615521583,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Miikkulainen, Raija",1986,1-kokoelma
Q5007031,3529,Pohjola,tila,paikannimi,Ahlainen,61.700706355,21.615521583,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Miikkulainen, Raija",1986,1-kokoelma
Q5013064,6560,Tiimastukki,pelto,paikannimi,Aitolahti,61.537130553,23.911974231,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Mäkelä, Matti",1969,1-kokoelma
Q5007266,3648,Pyykkiranta,ranta,paikannimi,Ahlainen,61.643080348,21.725646833,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Lenko, Marja",1967,1-kokoelma
Q5009272,4656,Södersund,tila,paikannimi,Ahlainen,61.701415309,21.536679549,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Miikkulainen, Raija",1986,1-kokoelma
Q5002047,1020,Isoniittu,pelto,paikannimi,Ahlainen,61.632300051,21.489475775,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Miikkulainen, Raija",1974,1-kokoelma
Q5013348,8017,Aho,talo,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5016582,9651,Ojanperä,maa,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5013460,8066,Ala-Pesola,talo,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5015694,9199,Latvala,talo,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5017709,10223,Saranpää,talo,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5018709,10734,Yli-Markkula,talo,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5016736,9730,Pelkola,talo,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5013539,8105,Arvola,talo,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5016766,9745,Peltola,talo,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5015817,9262,Leinonen,talo,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5016836,9781,Peräkangas,talo,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5017839,10289,Sittamäki,tupa,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5016880,9803,Perämäki,tupa,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5015503,9102,Kytölä,torppa,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5017971,10356,Syrjä-Pesola,talo,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5016044,9377,Markkulanmäki,mäki,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5018071,10406,Tienvieri,talo,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5014809,8751,Keski-Markkula,talo,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1951,1-kokoelma
Q5014821,8757,Keski-Pesola,talo,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5016116,9413,Metsänranta,talo,paikannimi,Alahärmä,63.219901111,22.912699399,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
